route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
617-13196,617,Metro Local Line,BEVERLY HILLS-CULVER CITY VIA BURTON -  ROBERTSON,3,,,
660-13196,660,Metro Local Line,DEL MAR STATION - ALTADENA - VIA FAIR OAKS SHUTTLE,3,,,
662-13196,662,Metro Local Line,ALTADENA-PASADENA VIA LAKE - LOS ROBLES - LINCOLN,3,,,
665-13196,665,Metro Local Line,ROSE HILL TC - CITY TERRACE - EAST LA,3,,,
690-13196,690,Metro Local Line,SYLMAR OLIVE VIEW HOSP. - SUNLAND VIA FOOTHILL BL,3,,,
694-13201,Downtown Inglewood Station -  Intuit Dome Express,,"The express shuttle will operate between Downtown Inglewood Station and Intuit Dome. Shuttle service will run every 20 minutes to the event, beginning roughly 2 hours before the event begins and run from the event every 10 minutes ending roughly 1 hour after the event concludes. Metro express service to Intuit Dome is FREE, but normal fares apply for regular Metro Bus and Rail service and parking fees at Metro Park & Ride lots",3,,,https://www.metro.net/riding/gameday/
695-13201,Hawthorne / Lennox Station -  Intuit Dome Express,,"The express shuttle will operate between Hawthorne / Lennox Station and Intuit Dome. Shuttle service will run every 20 minutes to the event, beginning roughly 2 hours before the event begins and run from the event every 10 minutes ending roughly 1 hour after the event concludes. Metro express service to Intuit Dome is FREE, but normal fares apply for regular Metro Bus and Rail service and parking fees at Metro Park & Ride lots",3,,,https://www.metro.net/riding/gameday/
696-13201,LAX / Metro Transit Center -  Intuit Dome Express,,"The express shuttle will operate between the Metro LAX / Metro Transit Center and Intuit Dome. Shuttle service will run every 20 minutes to the event, beginning roughly 2 hours before the event begins and run from the event every 10 minutes ending roughly 1 hour after the event concludes. Metro express service to Intuit Dome is FREE, but normal fares apply for regular Metro Bus and Rail service and parking fees at Metro Park & Ride lots",3,,,https://www.metro.net/riding/gameday/
697-13196,LAX / Metro Transit Center -  SoFi Stadium Express,,"The express shuttle will operate between the Metro LAX / Metro Transit Center and SoFi Stadium. Shuttle service will run every 5 minutes beginning roughly 3 hours before the event begins and ending roughly 1.5 hours after the event concludes. During the event, shuttles will depart SoFi to the LAX / Metro Transit Center as needed. Metro express service to SoFi Stadium is FREE, but normal fares apply for regular Metro Bus and Rail service and parking fees at Metro Park & Ride lots",3,,,https://www.metro.net/riding/gameday/
720-13196,720,Metro Rapid Line,SANTA MONICA-DOWNTOWN LA VIA WILSHIRE BLVD,3,000000,FFFFFF,
754-13196,754,Metro Rapid Line,HOLLYWOOD - ATHENS VIA VERMONT AV,3,000000,FFFFFF,
761-13196,761,Metro Rapid Line,SYLMAR STA- WEST LA VIA VAN NUYS BL - SEPULVEDA BL,3,000000,FFFFFF,
901-13196,,Metro G Line (Orange) 901,METRO G LINE,3,FC4C02,FFFFFF,https://www.metro.net/g-line/
910-13196,,Metro J Line (Silver) 910/950,METRO J LINE,3,ADB8BF,000000,https://www.metro.net/j-line/
